"","year","name","firstname","lastname","position","heightfeet","heightinches","heightinchestotal","weight","arms","hands","fortyyd","twentyyd","tenyd","twentyss","threecone","vertical","broad","bench","round","college","pick","pickround","picktotal","wonderlic","nflgrade"
"571",2014,"Tevin Reese","Tevin","Reese","WR","5","10.0000",70,163,0,0,4.46,0,0,4.18,6.63,41,132,0,8,"Baylor","0","16",240,0,5.2
"579",2014,"Paul Richardson","Paul","Richardson","WR","6","0.0000",72,175,0,0,4.4,0,0,0,7.09,38,124,0,2,"Colorado","0","13",45,0,5.3
"582",2014,"Allen Robinson","Allen","Robinson","WR","6","2.0000",74,220,0,0,4.6,0,0,4,7,39,127,0,2,"Penn St.","0","29",61,0,5.7
"589",2014,"Jalen Saunders","Jalen","Saunders","WR","5","9.0000",69,165,0,0,4.44,0,0,0,0,34,122,0,4,"Oklahoma","0","8",104,0,5.2
"604",2014,"Willie Snead","Willie","Snead","WR","5","11.0000",71,195,0,0,4.62,0,0,4.39,7.19,33.5,113,11,0,"Ball St.","0","0",0,0,5.2
"610",2014,"Josh Stewart","Josh","Stewart","WR","5","10.0000",70,178,0,0,4.69,0,0,4.33,7.1,35,117,11,0,"Oklahoma St.","0","0",0,0,5.1
"614",2014,"Devin Street","Devin","Street","WR","6","3.0000",75,198,0,0,4.55,0,0,4.01,6.89,37,124,0,5,"Pittsburgh","0","18",146,0,5.2
"640",2014,"L'Damian Washington","L'Damian","Washington","WR","6","4.0000",76,195,0,0,4.46,0,0,4.35,7.19,32,115,8,0,"Missouri","0","0",0,0,5.2
"643",2014,"Sammy Watkins","Sammy","Watkins","WR","6","1.0000",73,211,0,0,4.43,0,0,4.34,6.95,34,126,16,1,"Clemson","0","4",4,0,7
"656",2014,"Albert Wilson","Albert","Wilson","WR","5","9.0000",69,202,0,0,4.43,0,0,4.21,7,37.5,123,10,0,"Georgia State","0","0",0,0,4.8
"662",2013,"Keenan Allen","Keenan","Allen","WR","6","2.5000",74.5,206,32.75,10,4.71,0,0,0,0,0,0,0,3,"California","14(76)","14",76,0,0
"669",2013,"Tavon Austin","Tavon","Austin","WR","5","8.0000",68,174,30,9.125,4.34,0,1.45,4.01,0,32,120,14,1,"West Virginia","8(8)","8",8,0,0
"672",2013,"Stedman Bailey","Stedman","Bailey","WR","5","10.0000",70,193,32.75,9.875,4.52,0,1.58,4.09,6.81,34.5,117,11,3,"West Virginia","30(92)","30",92,0,0
"687",2013,"Alan Bonner","Alan","Bonner","WR","5","10.0000",70,193,30.25,9.375,4.59,0,1.63,4.15,0,33,117,14,6,"Jacksonville State","27(195)","27",195,0,0
"690",2013,"Josh Boyce","Josh","Boyce","WR","5","11.0000",71,206,31.25,9.25,4.38,0,1.56,4.1,6.68,34,131,22,4,"TCU","5(102)","5",102,0,0
"709",2013,"Marcus Davis","Marcus","Davis","WR","6","3.0000",75,233,32.75,10.25,4.56,0,1.63,0,7.15,39.5,120,19,0,"","","0",0,0,0
"731",2013,"Corey Fuller","Corey","Fuller","WR","6","2.0000",74,204,33.25,9.5,4.43,0,1.49,0,0,31.5,120,12,6,"Virginia Tech","3(171)","3",171,0,0
"739",2013,"Tyrone Goard","Tyrone","Goard","WR","6","7.0000",79,205,34,8.75,4.5,0,1.53,4.39,6.9,36,123,10,0,"","","0",0,0,0
"742",2013,"Marquise Goodwin","Marquise","Goodwin","WR","5","9.0000",69,183,31.5,8.625,4.27,0,1.43,0,0,0,132,13,3,"Texas","16(78)","16",78,0,0
"749",2013,"Cobi Hamilton","Cobi","Hamilton","WR","6","2.0000",74,212,32.5,8.75,4.56,0,1.63,4.31,0,29.5,107,11,6,"Arkansas","29(197)","29",197,0,0
"751",2013,"Chris Harper","Chris","Harper","WR","6","1.0000",73,229,32.75,9.75,4.55,0,1.55,4.39,6.89,35.5,116,20,4,"Kansas State","26(123)","26",123,0,0
"754",2013,"Mark Harrison","Mark","Harrison","WR","6","3.0000",75,231,35,9.625,4.46,0,1.58,4.33,6.99,38.5,129,17,0,"","","0",0,0,0
"765",2013,"Deandre Hopkins","Deandre","Hopkins","WR","6","1.0000",73,214,33.375,10,4.57,0,1.59,4.5,0,36,115,15,1,"Clemson","27(27)","27",27,0,0
"768",2013,"Justin Hunter","Justin","Hunter","WR","6","4.0000",76,196,33.25,9.375,4.44,0,1.54,4.33,0,39.5,136,0,2,"Tennessee","2(34)","2",34,0,0
"780",2013,"Charles Johnson","Charles","Johnson","WR","6","2.0000",74,215,30.5,9.25,4.39,2.51,1.53,4.31,7.04,39.5,133,14,7,"Grand Valley State","10(216)","10",216,0,0
"781",2013,"Darius Johnson","Darius","Johnson","WR","5","9.0000",69,179,30.25,9.125,4.6,0,1.57,4.53,0,32,109,6,0,"","","0",0,0,0
"795",2013,"Brandon Kaufman","Brandon","Kaufman","WR","6","5.0000",77,216,32.25,9.25,4.67,0,1.59,4.44,7.11,33.5,115,9,0,"","","0",0,0,0
"796",2013,"Tavarres King","Tavarres","King","WR","6","0.0000",72,189,33,9.5,4.47,0,1.58,4.33,6.91,36.5,123,11,5,"Georgia","28(161)","28",161,0,0
"803",2013,"Alec Lemon","Alec","Lemon","WR","6","1.0000",73,202,31.125,8.5,4.59,0,1.61,4.29,7.04,32,112,7,0,"","","0",0,0,0
"828",2013,"Aaron Mellette","Aaron","Mellette","WR","6","2.0000",74,217,33.125,9.625,4.54,0,1.56,4.41,7.11,33.5,123,9,7,"Elon","32(238)","32",238,0,0
"836",2013,"T.J. Moe","T.J.","Moe","WR","5","11.0000",71,204,30.125,9.875,4.74,0,1.57,3.96,6.53,36,120,26,0,"","","0",0,0,0
"847",2013,"Cordarrelle Patterson","Cordarrelle","Patterson","WR","6","2.0000",74,216,31.75,9,4.42,0,1.55,0,0,37,128,0,1,"Tennessee","29(29)","29",29,0,0
"848",2013,"Quinton Patton","Quinton","Patton","WR","6","0.0000",72,204,32.875,9.375,4.53,0,1.56,4.01,6.91,33,118,8,4,"Louisiana Tech","31(128)","31",128,0,0
"865",2013,"Denard Robinson","Denard","Robinson","WR","5","10.0000",70,199,32.625,9,4.43,0,1.56,4.22,7.09,36.5,123,0,5,"Michigan","2(135)","2",135,0,0
"866",2013,"DaRick Rogers","DaRick","Rogers","WR","6","2.0000",74,217,32.75,9.5,4.52,0,1.67,4.06,6.71,39.5,132,10,0,"","","0",0,0,0
"870",2013,"Lanear Sampson","Lanear","Sampson","WR","5","11.0000",71,204,30.75,9.25,4.46,0,1.51,4.38,7.1,33.5,119,20,0,"","","0",0,0,0
"871",2013,"Ace Sanders","Ace","Sanders","WR","5","7.0000",67,173,29.5,8.875,4.58,0,1.55,4.37,6.81,32,117,7,4,"South Carolina","4(101)","4",101,0,0
"880",2013,"Rodney Smith","Rodney","Smith","WR","6","4.0000",76,225,34.75,10.375,4.51,0,1.55,4.07,7.03,34.5,120,0,0,"","","0",0,0,0
"882",2013,"Ryan Spadola","Ryan","Spadola","WR","6","1.0000",73,204,30.75,9.75,4.48,0,1.55,4.07,6.72,33.5,119,15,0,"","","0",0,0,0
"891",2013,"Kenny Stills","Kenny","Stills","WR","6","0.0000",72,194,30.5,9,4.38,0,1.53,4.35,0,33.5,124,16,5,"Oklahoma","11(144)","11",144,0,0
"894",2013,"Ryan Swope","Ryan","Swope","WR","6","0.0000",72,205,31.375,8.5,4.34,0,1.47,4.25,6.76,37,125,16,6,"Texas A&M","6(174)","6",174,0,0
"903",2013,"Kenbrell Thompkins","Kenbrell","Thompkins","WR","6","1.0000",73,193,32.25,8.75,4.54,0,1.54,4.21,6.88,33.5,121,8,0,"","","0",0,0,0
"911",2013,"Conner Vernon","Conner","Vernon","WR","6","0.0000",72,196,30.5,9.25,4.68,0,1.61,4.22,6.93,32.5,125,0,0,"","","0",0,0,0
"923",2013,"Markus Wheaton","Markus","Wheaton","WR","5","11.0000",71,189,32.75,9.125,4.45,0,1.52,4.02,6.8,37,120,20,3,"Oregon State","17(79)","17",79,0,0
"933",2013,"Terrance Williams","Terrance","Williams","WR","6","2.0000",74,208,31.25,8.75,4.52,0,1.52,4.32,7.01,32.5,119,11,3,"Baylor","12(74)","12",74,0,0
"937",2013,"Marquess Wilson","Marquess","Wilson","WR","6","3.0000",75,194,31.125,9.25,4.51,0,1.51,4.33,6.65,34.5,122,7,7,"Washington State","30(236)","30",236,0,0
"943",2013,"Robert Woods","Robert","Woods","WR","6","0.0000",72,201,31,9.25,4.51,0,0,4.47,7.15,33.5,117,14,2,"USC","9(41)","9",41,0,0
"948",2012,"Joe Adams","Joe","Adams","WR","5","11.0000",71,179,31.875,9.375,4.57,2.66,1.69,0,7.09,36,123,0,4,"Arkansas","9(104)","9",104,0,0
"963",2012,"Tim Benford","Tim","Benford","WR","5","11.0000",71,205,33.125,8.875,4.59,0,1.65,4.35,7.3,33,121,15,0,"","","0",0,0,0
"964",2012,"Travis Benjamin","Travis","Benjamin","WR","5","9.0000",69,172,31.75,8.75,4.36,0,1.58,0,0,38,119,14,4,"Miami (FL)","5(100)","5",100,0,0
"969",2012,"Justin Blackmon","Justin","Blackmon","WR","6","1.0000",73,207,32.5,9.25,4.46,0,0,0,0,35,123,14,1,"Oklahoma State","5(5)","5",5,0,0
"976",2012,"Jarrett Boykin","Jarrett","Boykin","WR","6","2.0000",74,217,32.25,10.25,4.72,0,1.58,4.28,7.12,36,123,11,0,"","","0",0,0,0
"979",2012,"LaVon Brazill","LaVon","Brazill","WR","5","11.0000",71,192,32,9.75,4.48,0,0,0,0,32,0,11,6,"Ohio","36(206)","36",206,0,0
"986",2012,"Ryan Broyles","Ryan","Broyles","WR","5","10.0000",70,192,32.25,9,0,0,0,0,0,0,0,21,2,"Oklahoma","22(54)","22",54,0,0
"993",2012,"Greg Childs","Greg","Childs","WR","6","3.0000",75,219,34.125,10.125,4.55,0,0,4.09,6.9,36,125,19,4,"Arkansas","39(134)","39",134,0,0
"995",2012,"Danny Coale","Danny","Coale","WR","6","0.0000",72,201,30.625,9.125,4.5,0,0,4.15,6.69,35,115,12,5,"Virginia Tech","17(152)","17",152,0,0
"999",2012,"Josh Cooper","Josh","Cooper","WR","5","11.0000",71,190,31,9.5,4.65,2.64,1.58,4.35,7.12,31.5,115,11,0,"","","0",0,0,0
"1009",2012,"Juron Criner","Juron","Criner","WR","6","2.0000",74,224,32,10.5,4.68,0,0,4.3,7.15,38,117,17,5,"Arizona","33(168)","33",168,0,0
"1011",2012,"B.J. Cunningham","B.J.","Cunningham","WR","6","1.0000",73,211,33,8.125,4.59,0,0,0,7.1,31,116,12,6,"Michigan State","13(183)","13",183,0,0
"1021",2012,"Patrick Edwards","Patrick","Edwards","WR","5","9.0000",69,172,29.625,8.375,4.57,2.66,1.58,4.2,7.12,33.5,118,5,0,"","","0",0,0,0
